Dimension,Category,Promo_Holiday,Promo_NonHoliday,Difference,N_Observations
Store Type,D,3.351768715966247,2.5887500963836843,0.7630186195825628,1000296
Store Type,C,2.382973770628092,2.0406998506929113,0.3422739199351805,833580
Store Type,B,3.0623051502681133,2.8005068029356717,0.26179834733244167,444576
Store Type,E,2.8986157875046765,2.674505288835615,0.22411049866906163,222288
Store Type,A,3.5355059511438114,2.9207644336027405,0.6147415175410709,500148
Cluster,Cluster 1,3.0452259217691315,2.4514121085946208,0.5938138131745108,166716
Cluster,Cluster 2,2.8711809452550194,2.4154206884949425,0.4557602567600769,111144
Cluster,Cluster 3,2.539825058343577,2.0838462948109027,0.4559787635326744,389004
Cluster,Cluster 4,3.098973271812778,2.547122859405996,0.551850412406782,166716
Cluster,Cluster 5,4.059733133807208,3.3624377010914137,0.6972954327157939,55572
Cluster,Cluster 6,3.1753543667123916,2.887988139549555,0.28736622716283655,333432
Cluster,Cluster 7,2.1224591594961963,1.8772632641473723,0.24519589534882402,111144
Cluster,Cluster 8,3.480691690568234,2.922255167917902,0.5584365226503318,166716
Cluster,Cluster 9,2.9827908716797604,2.4507707189872354,0.532020152692525,111144
Cluster,Cluster 10,2.831525127821424,2.5513041588683505,0.2802209689530737,333432
Cluster,Cluster 11,2.834850563245625,2.375279512684093,0.45957105056153225,166716
Cluster,Cluster 12,2.647711684748722,2.4298361827855235,0.21787550196319838,55572
Cluster,Cluster 13,4.306085546826288,2.795953988181608,1.5101315586446797,222288
Cluster,Cluster 14,3.953049008604564,3.2400952621285724,0.7129537464759919,222288
Cluster,Cluster 15,2.2146402294550445,1.9678421971274158,0.24679803232762865,277860
Cluster,Cluster 16,2.576505798728021,2.3852543477803714,0.19125145094764973,55572
Cluster,Cluster 17,3.4430727023319614,2.8382226147666816,0.6048500875652798,55572
Holiday Type,Holiday,2.4348427081270216,,,242352
Holiday Type,Work Day,0.3490460157126824,,,7128
Holiday Type,Additional,3.2723290250171972,,,55242
Holiday Type,"Holiday, Event",3.0176206509539845,,,8910
Holiday Type,Transfer,6.04138608305275,,,14256
Holiday Type,"Additional, Holiday",3.6677890011223346,,,5346
Holiday Type,Event,3.9894065370255847,,,87318
Holiday Type,"Holiday, Additional",0.8877665544332211,,,1782
Holiday Type,"Bridge, Additional",3.206509539842873,,,1782
Holiday Type,Bridge,6.362233445566779,,,3564
Holiday Type,"Additional, Event",5.976430976430977,,,1782
Holiday Type,"Additional, Transfer",3.823232323232323,,,1782
Holiday Type,"Holiday, Work Day",7.451178451178452,,,1782
